name,url,country,revision_id,quality_score
Abdi Hassan Buni,https://en.wikipedia.org/wiki/Abdi_Hassan_Buni,Somalia,1186251111,Start
Abdikarin Dahir,https://en.wikipedia.org/wiki/Abdikarin_Dahir,Somalia,1240850209,Stub
Abdikarim Dhaaye,https://en.wikipedia.org/wiki/Abdikarim_Dhaaye,Somalia,1177315930,Stub
Ali Dhere,https://en.wikipedia.org/wiki/Ali_Dhere,Somalia,1238211507,Stub
Djama Ali Moussa,https://en.wikipedia.org/wiki/Djama_Ali_Moussa,Somalia,1242429887,Stub
Ahmed Farah Dualeh,https://en.wikipedia.org/wiki/Ahmed_Farah_Dualeh,Somalia,1231104858,Start
Mohamed Omar Dubad,https://en.wikipedia.org/wiki/Mohamed_Omar_Dubad,Somalia,1138175757,Start
Osman Dubbe,https://en.wikipedia.org/wiki/Osman_Dubbe,Somalia,1167452006,Start
Mohamed Ali Facaye,https://en.wikipedia.org/wiki/Mohamed_Ali_Facaye,Somalia,1183837827,Stub
Abdulcadir Gabeire Farah,https://en.wikipedia.org/wiki/Abdulcadir_Gabeire_Farah,Somalia,1127388256,C
Abdulrahim Abby Farah,https://en.wikipedia.org/wiki/Abdulrahim_Abby_Farah,Somalia,1233766067,C
Ahmed Moalim Fiqi,https://en.wikipedia.org/wiki/Ahmed_Moalim_Fiqi,Somalia,1232330437,Start
Mohamud Abdi Gaab,https://en.wikipedia.org/wiki/Mohamud_Abdi_Gaab,Somalia,1250648846,Stub
Ahmed Gacmayare,https://en.wikipedia.org/wiki/Ahmed_Gacmayare,Somalia,1154853671,Stub
Garaad Abdulahi Garaad Soofe,https://en.wikipedia.org/wiki/Garaad_Abdulahi_Garaad_Soofe,Somalia,1185995272,Start
Garad Adan Bin Kooshin,https://en.wikipedia.org/wiki/Garad_Adan_Bin_Kooshin,Somalia,1225232336,C
Jama Mohamed Ghalib,https://en.wikipedia.org/wiki/Jama_Mohamed_Ghalib,Somalia,1250294464,Start
Draft:Guled Bihi Abdi,https://en.wikipedia.org/wiki/Draft:Guled_Bihi_Abdi,Somalia,1241700679,Stub
Ibraahim Guure,https://en.wikipedia.org/wiki/Ibraahim_Guure,Somalia,1243240858,Stub
Yusuf Ahmed Hagar Dabageed,https://en.wikipedia.org/wiki/Yusuf_Ahmed_Hagar_Dabageed,Somalia,1188398539,Start
Zakaria Mohamed Haji-Abdi,https://en.wikipedia.org/wiki/Zakaria_Mohamed_Haji-Abdi,Somalia,1205851984,Start
Hassan Nur Elmi,https://en.wikipedia.org/wiki/Hassan_Nur_Elmi,Somalia,1229588066,Stub
Mohamed Ali Hassan,https://en.wikipedia.org/wiki/Mohamed_Ali_Hassan,Somalia,1158685492,Stub
Sadak Omar Hassan,https://en.wikipedia.org/wiki/Sadak_Omar_Hassan,Somalia,1218256927,Start
Ali Yusuf Hosh,https://en.wikipedia.org/wiki/Ali_Yusuf_Hosh,Somalia,1235398629,Stub
Abdirahman Haji Aden Ibbi,https://en.wikipedia.org/wiki/Abdirahman_Haji_Aden_Ibbi,Somalia,1223694493,Stub
Hanifa Mohamed Ibrahim,https://en.wikipedia.org/wiki/Hanifa_Mohamed_Ibrahim,Somalia,1233626945,Stub
Ibrahim Artan Ismail,https://en.wikipedia.org/wiki/Ibrahim_Artan_Ismail,Somalia,1243243246,Stub
Mohamed Sheikh Ismail,https://en.wikipedia.org/wiki/Mohamed_Sheikh_Ismail,Somalia,1009328790,Start
Yusuf Mohamed Ismail,https://en.wikipedia.org/wiki/Yusuf_Mohamed_Ismail,Somalia,1217119391,Start
Abdihamid Sheikh Abdisalam Isse,https://en.wikipedia.org/wiki/Abdihamid_Sheikh_Abdisalam_Isse,Somalia,1211653922,Stub
Ahmed Sheikh Jama,https://en.wikipedia.org/wiki/Ahmed_Sheikh_Jama,Somalia,1241971490,Stub
Bashir Mohamed Jama,https://en.wikipedia.org/wiki/Bashir_Mohamed_Jama,Somalia,1236987408,Start
Farah Ali Jama,https://en.wikipedia.org/wiki/Farah_Ali_Jama,Somalia,1217078017,Start
Abdirahman Janaqow,https://en.wikipedia.org/wiki/Abdirahman_Janaqow,Somalia,1202660894,Start
Abdirizak Jurile,https://en.wikipedia.org/wiki/Abdirizak_Jurile,Somalia,1220585287,Start
Muna Khalif,https://en.wikipedia.org/wiki/Muna_Khalif,Somalia,1240386667,Start
Mohammed Awale Liban,https://en.wikipedia.org/wiki/Mohammed_Awale_Liban,Somalia,1250921134,Start
